security,forecast_periods,mse,tu,mase,mape,rmse_return,nrmse_return,accuracy,precision,recall,fscore
MS,30,8.407116277782064,1.0201924168954084,1.0012952166981752,7.921369753725996,10.53711180981426,1.335593988468878,0.5471236230110159,0.5890949971894323,0.7344078486334968,0.6537741734248286
MS,60,16.584164920570473,1.0280419946734969,1.0148466256884234,11.909741908494231,15.328574715682967,1.2983040590039079,0.5054347826086957,0.5987421383647799,0.6359385437541751,0.6167800453514739
NEE,1,1.7292155500587845,1.0184565206211815,1.0089844215429056,0.7700272702275022,1.050569775874039,1.375638481836302,0.516,0.5519061583577712,0.6784426820475847,0.6086675291073739
NEE,5,7.243932617417556,0.9865412595151388,0.977019227946584,1.6680928341290802,2.2023971219935183,1.2955831917946747,0.5821671331467413,0.6031676198856137,0.90554821664465,0.724055980987589
NEE,10,11.368234829436176,0.9194580201556748,0.942819502682008,2.2420573849422123,2.9320782407773747,1.241994447031162,0.6432302129369225,0.6499794829708658,0.9783817171093268,0.7810650887573964
NEE,30,28.54544591229075,0.7221278876759264,0.8506558644990513,3.612090971857505,4.5822513674464815,1.0782271797111491,0.7227884223399919,0.7230831973898858,0.9994363021420518,0.8390913393279696
NEE,60,46.630363588747755,0.5555318972268114,0.7549587699710472,4.7235303097310615,6.067918132930335,0.9689839423945036,0.8035938152946093,0.8035938152946093,1.0,0.8911028730305838
NFLX,1,20.971485412402448,1.0371383039621922,1.0207739883032494,2.074500410690253,3.2788173554813067,1.619181297530475,0.5183856502242152,0.5160848733744011,0.6726137377341659,0.5840433772269559
NFLX,5,110.81546925458146,1.0454811126110812,1.0191702203050794,5.253781799525847,8.059418162061737,1.5763534990843129,0.533213644524237,0.5455911823647295,0.8911620294599017,0.6768178993163456
NFLX,10,213.9590127330598,1.10956380723818,1.0492960016808397,8.144869184625255,11.793279826589654,1.5364085059568693,0.5563570784490532,0.5650557620817844,0.9620253164556962,0.711943793911007
NFLX,30,766.1640829691684,1.2661595828194845,1.0588645248867952,16.828584296596,22.938864606106065,1.4705584686063535,0.6078971533516988,0.6078971533516988,1.0,0.7561393489434609
NFLX,60,1723.0210246808201,1.401854853063684,1.101577344011474,26.821797756258782,34.26032264337634,1.4309599347858168,0.6836638338054769,0.6836638338054769,1.0,0.812114413909142
NKE,1,0.6331405113141232,1.0431239316419292,1.0129358115909008,1.056610419791454,1.534214012662113,1.466082363359536,0.5072,0.5225496091401083,0.6648814078041316,0.5851851851851853
NKE,5,2.7729185224141384,1.0318367961475328,1.0061519760836597,2.31921914005182,3.1015205294117254,1.3408156599788588,0.5538646375650781,0.5712918660287082,0.8456090651558074,0.6818960593946317
NKE,10,5.1261130838488285,1.0512725014159288,1.0068015991584978,3.2931021937468725,4.200468954592173,1.2810791921145093,0.5955823293172691,0.6019016122364613,0.9706666666666668,0.7430466955856084
NKE,30,13.516948216393972,0.9854750346386963,0.9748125906127404,5.5871381275226595,7.0598766453558754,1.2031933288268488,0.6555238483489605,0.6560587515299877,0.9987577639751553,0.7919231716326028
NKE,60,24.80060504283844,0.9882551945766124,0.9555709703964959,7.890833113118496,10.033368330987171,1.157229224896597,0.6949435854575846,0.6949435854575846,1.0,0.8200197238658777
NVDA,1,9.933869732202528,1.0332082430493579,1.0081373843215835,1.7772964255038708,2.6170911002627864,1.492772689358158,0.5122342559165664,0.5274407856730213,0.6964149504195271,0.6002629848783694
NVDA,5,51.47247821613266,1.0677212000283067,0.99541877862867,4.201882401368802,5.8757433452079,1.3927961249979608,0.5490981963927856,0.5715751667521806,0.7934472934472935,0.6644795705338503
NVDA,10,94.58918819344132,1.0784985007748522,1.002692846917442,6.006324705175955,8.403198961558557,1.3913722043907917,0.5586816720257235,0.5809659090909091,0.8520833333333333,0.6908783783783783
NVDA,30,339.6358914664111,1.1647438716660312,0.9706585853849242,11.01466805730717,15.590550542925088,1.354008005289706,0.6484502446982056,0.6521197007481296,0.9843161856963614,0.7845
NVDA,60,822.4415916082585,1.2348457853429329,0.9732314603792608,16.225949250224954,24.007389556611468,1.3319189837479168,0.7153010033444817,0.7165618448637316,0.9970828471411902,0.8338619175408637
ORCL,1,0.2999228121715338,1.0105773758194172,1.0080291203546607,1.03722952740922,1.5000461775104084,1.4607420564552485,0.5126862666129682,0.5427419354838711,0.5113981762917933,0.52660406885759
ORCL,5,1.3987386453486514,1.0140998433976551,1.0057084370042522,2.3515105084248065,3.2280773505546767,1.3813759259580503,0.5318892900120337,0.5603864734299517,0.6788588149231894,0.6139596427390009
ORCL,10,2.637936437321358,1.0106307921059083,0.9970505203326608,3.3464655239481207,4.456434352128525,1.333325044028556,0.5614176399516714,0.594059405940594,0.7223796033994334,0.6519654841802494
ORCL,30,5.9060584902221,0.9918220315957776,0.9856425903319056,5.40217583661178,7.013569383956705,1.266021695395273,0.5566884176182708,0.5996775926921011,0.7654320987654321,0.6724917143717988
ORCL,60,9.320617691096828,0.9949003373779871,0.9919877738019354,6.904270622452892,8.952466035909298,1.2371049791125803,0.5812787296280819,0.6037383177570094,0.8934993084370678,0.7205800334634691
OXY,1,0.9991712051533148,1.0387584964538783,1.0173836946011294,1.3062772979832544,2.0555256685145267,1.627431252449268,0.505797680927629,0.5104651162790698,0.690251572327044,0.5868983957219251
